exp_id,change_description,baseline_f1,new_f1,delta_f1,baseline_auc,new_auc,delta_auc,baseline_std,new_std,fp,fn,verdict
1.0,Baseline LSTM-only Tier C,0.8139,0.8139,+0.0000,0.8160,0.8160,+0.0000,0.0612,0.0612,39,29,BASELINE
1.2,Hidden size 64 -> 128,0.8139,0.8168,+0.0029,0.8160,0.8403,+0.0244,0.0612,0.0440,36,31,KEEP
1.3,Temporal attention pooling,0.8139,0.8274,+0.0135,0.8160,0.8448,+0.0288,0.0612,0.0350,42,24,KEEP
1.4,LayerNorm before LSTM input,0.8139,0.7810,-0.0329,0.8160,0.7970,-0.0189,0.0612,0.0629,47,33,REVERT
1.5,Bidirectional LSTM,0.8139,0.8182,+0.0043,0.8160,0.8270,+0.0110,0.0612,0.0563,35,30,KEEP
R1_combined,Round 1 all kept changes combined,0.8139,0.8152,+0.0013,0.8160,0.8383,+0.0223,0.0612,0.0538,33,34,KEEP
2.1,CosineAnnealingWarmRestarts scheduler,0.8152,0.8189,+0.0038,0.8383,0.8413,+0.0030,0.0538,0.0552,43,25,KEEP
2.2,Label smoothing 0.05,0.8152,0.8120,-0.0032,0.8383,0.8442,+0.0059,0.0538,0.0275,44,27,REVERT
2.3,Early stop on val F1 instead of val loss,0.8152,0.8420,+0.0268,0.8383,0.8437,+0.0054,0.0538,0.0300,43,18,KEEP
2.4_a0.5_g1.0,"Focal alpha=0.5, gamma=1.0",0.8152,0.8204,+0.0052,0.8383,0.8402,+0.0019,0.0538,0.0366,47,22,GRID_SEARCH
2.4_a0.5_g2.0,"Focal alpha=0.5, gamma=2.0",0.8152,0.8231,+0.0079,0.8383,0.8436,+0.0053,0.0538,0.0521,48,21,GRID_SEARCH
2.4_a0.5_g3.0,"Focal alpha=0.5, gamma=3.0",0.8152,0.8047,-0.0104,0.8383,0.8426,+0.0043,0.0538,0.0355,60,18,GRID_SEARCH
2.4_a0.65_g1.0,"Focal alpha=0.65, gamma=1.0",0.8152,0.8168,+0.0016,0.8383,0.8400,+0.0017,0.0538,0.0435,36,30,GRID_SEARCH
2.4_a0.65_g2.0,"Focal alpha=0.65, gamma=2.0",0.8152,0.8009,-0.0143,0.8383,0.8264,-0.0119,0.0538,0.0323,44,30,GRID_SEARCH
2.4_a0.65_g3.0,"Focal alpha=0.65, gamma=3.0",0.8152,0.8147,-0.0004,0.8383,0.8492,+0.0109,0.0538,0.0374,43,26,GRID_SEARCH
2.4_a0.75_g1.0,"Focal alpha=0.75, gamma=1.0",0.8152,0.7922,-0.0230,0.8383,0.8245,-0.0138,0.0538,0.0248,56,25,GRID_SEARCH
2.4_a0.75_g3.0,"Focal alpha=0.75, gamma=3.0",0.8152,0.8000,-0.0152,0.8383,0.8358,-0.0025,0.0538,0.0455,38,34,GRID_SEARCH
2.4_a0.85_g1.0,"Focal alpha=0.85, gamma=1.0",0.8152,0.8085,-0.0066,0.8383,0.8233,-0.0150,0.0538,0.0535,41,30,GRID_SEARCH
2.4_a0.85_g2.0,"Focal alpha=0.85, gamma=2.0",0.8152,0.8073,-0.0079,0.8383,0.8162,-0.0221,0.0538,0.0618,48,26,GRID_SEARCH
2.4_a0.85_g3.0,"Focal alpha=0.85, gamma=3.0",0.8152,0.7839,-0.0313,0.8383,0.8128,-0.0255,0.0538,0.0603,59,26,GRID_SEARCH
2.4_best,"Best grid: Focal alpha=0.5, gamma=2.0",0.8152,0.8231,+0.0079,0.8383,0.8436,+0.0053,0.0538,0.0521,48,21,KEEP
R2_combined,Round 2 all kept changes combined,0.8152,0.8339,+0.0187,0.8383,0.8471,+0.0088,0.0538,0.0430,38,24,KEEP
